"Report Category","Name ---------------------------------------------","LEA Code","Superintendent -------------------","Mailing Or Physical Address --------","City ---------------------","Zip ------------","Telephone ---------","Fax -------------------","E-Mail Address ---------------------------","SBE Dist ----------","Type Description --------------------------------------------------------------","Date Superintendent Name/E-mail AddressRecord Was Added Or Changed"
"A) Regular Local/Local/Supervisory Union/Specialized","Caldwell County Schools","140","Dr Don Phipps","1914 Hickory Boulevard SW","Lenoir","28645","(828) 728-8407","(828) 728-0012","dphipps@caldwellschools.com","Northwest","Regular local school district","07-09-2018 07:13:41 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Camden County Schools","150","Dr Travis W Twiford","174 NC Hwy 343 N","Camden","27921-9614","(252) 335-0831","(252) 331-2300","jferrell@camden.k12.nc.us","Northeast","Regular local school district","02-13-2023 04:56:42 PM"
"C) Federal Schools","Camp Lejeune","679","Mr Todd Curkendall","855 Stone St","Camp Lejeune","28547","(910) 451-2461","(910) 451-2200","DoDEAAmericasSuptLJ@am.dodea.edu","Sandhills","Federal agency providing instruction to school age children","06-01-2018 01:26:39 PM"
"D) Laboratory Schools","Carolina Community Academy","73Z"," Amy Richardson","260 Henderson Rd","Roxboro","27573","(919) 962-9378","-","amyrich@unc.edu","North Central","Laboratory School","08-24-2022 01:43:34 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Carteret County Public Schools","160","Mr Richard Paylor","107 Safrit Drive","Beaufort","28516-9017","(252) 728-4583","(252) 728-3028","richard.paylor@carteretk12.org","Southeast","Regular local school district","10-07-2022 09:34:41 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Caswell County Schools","170","Dr Sandra  Carter ","PO Box 160","Yanceyville","27379-0160","(336) 694-4116","(336) 694-5154","sandra.carter@caswell.k12.nc.us","Piedmont Triad","Regular local school district","01-04-2017 09:18:36 AM"
"D) Laboratory Schools","Catamount School","50Z","Mrs Angela Lunsford","100 Smoky Mountain Dr","Sylva","28779-5600","(828) 331-1775","(828) 586-2374","alunsford@wcu.edu","Western","Laboratory School","08-09-2021 03:23:44 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Catawba County Schools","180","Dr Matthew Stover","PO Box 1010","Newton","28658-1000","(828) 464-8333","(828) 464-0925","matt_stover@catawbaschools.net","Northwest","Regular local school district","10-20-2016 07:54:45 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Chapel Hill-Carrboro City Schools","681","Dr Nyah Hamlett","750 S Merritt Mill Rd","Chapel Hill","27516-2878","(919) 967-8211","(919) 933-4560","nyahhamlett@chccs.k12.nc.us","North Central","Regular local school district","01-05-2021 12:22:06 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Charlotte-Mecklenburg Schools","600","Dr Crystal Hill  (interim)","PO Box 30035, ","Charlotte","28230-0035","(980) 343-6270","(980) 343-7135","superintendent@cms.k12.nc.us","Southwest","Regular local school district","01-02-2023 09:59:27 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Chatham County Schools","190","Dr Anthony D Jackson","PO Box 128","Pittsboro","27312-0128","(919) 542-3626","(919) 542-1980","ajackson@chatham.k12.nc.us","North Central","Regular local school district","07-06-2021 08:47:21 AM"
"C) Federal Schools","Cherokee Central Schools","209","Dr Michael Murray","PO Box 134","Cherokee","28719-0134","(828) 554-5001","(828) 554-5010","mike.murray@ccs-nc.org","Western","Federal agency providing instruction to school age children","05-30-2018 09:11:21 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Cherokee County Schools","200","Dr Keevin G. Woody","911 Andrews Road","Murphy","28906-3501","(828) 837-2722","(828) 837-5799","keevin.woody@cherokee.k12.nc.us","Western","Regular local school district","10-31-2022 08:14:35 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Clay County Schools","220","Mr Thomas Dale Cole","154 Yellow Jacket Drive","Hayesville","28904","(828) 389-8513","(828) 389-3437","dcole@clayschools.org","Western","Regular local school district","11-01-2019 02:47:20 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Cleveland County Schools","230","Dr Stephen Fisher","400 West Marion Street","Shelby","28150","(704) 476-8000","(704) 476-8300","SRFisher@clevelandcountyschools.org","Southwest","Regular local school district","07-14-2014 10:22:54 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Clinton City Schools","821","Dr Wesley Johnson","300 Westover Rd","Clinton","28328-4118","(910) 592-3132","(910) 592-2011","wjohnson@clinton.k12.nc.us","Sandhills","Regular local school district","09-28-2018 04:40:09 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Columbus County Schools","240","Dr Deanne Meadows","2586 James B. White Hwy North, Building A","Whiteville","28472-0729","(910) 642-5168","(910) 640-1010","deannemeadows@columbus.k12.nc.us","Sandhills","Regular local school district","07-01-2019 01:18:06 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Craven County Schools","250"," Dr. Wendy  A Miller","3600 Trent Road","New Bern","28562-2224","(252) 514-6300","(252) 514-6351","wendy.miller@cravenk12.org","Southeast","Regular local school district","02-03-2023 06:49:33 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Cumberland County Schools","260","Dr Marvin Connelly Jr","PO Box 2357","Fayetteville","28302-2357","(910) 678-2300","(910) 678-2339","marvinconnelly@ccs.k12.nc.us","Sandhills","Regular local school district","07-02-2018 08:49:16 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Currituck County Schools","270","Dr Matthew Lutz","2958 Caratoke Hwy","Currituck","27929","(252) 232-2223","(252) 232-3655","mlutz@currituck.k12.nc.us","Northeast","Regular local school district","07-02-2020 09:59:30 AM"
"D) Laboratory Schools","D.C. Virgo Preparatory Academy","65Z","Ms Sabrina Hill-Black","813 Nixon Street","Wilmington","28401","(910) 251-6150","(910) 251-6055","blacksh@uncw.edu","Southeast","Laboratory School","07-30-2018 01:51:40 PM"
"B) State Schools","DPS Education Services (fka Div Prisons)","996","Dr Julie Jailall","4264 MSC, ","Raleigh","27699-4264","(984) 204-2412","-","julie.jailall@ncdps.gov","North Central","State agency providing instruction to school age children","02-02-2021 04:19:46 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Dare County Schools","280","Mr Steve Basnight","PO Box 1508","Nags Head","27959-1508","(252) 480-8888","(252) 480-8885","basnightst@daretolearn.org","Northeast","Regular local school district","12-02-2022 03:52:33 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Davidson County Schools","290","Dr Emily W Lipe","PO Box 2057","Lexington","27293-2057","(336) 249-8181","(336) 249-1062","elipe@davidson.k12.nc.us","Piedmont Triad","Regular local school district","07-27-2017 03:38:34 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Davie County Schools","300","Mr Jeff Wallace","220 Cherry St","Mocksville","27028-2206","(336) 751-5921","(336) 751-9013","wallacej@davie.k12.nc.us","Piedmont Triad","Regular local school district","05-16-2019 08:04:03 AM"
"B) State Schools","Deaf and Blind Schools","298","-","2303 Mail Service Center","Raleigh","27699-2303","(984) 292-3005","(919) 715-2206","-","North Central","State agency providing instruction to school age children","02-02-2022 11:54:16 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Duplin County Schools","310","Dr Austin Obasohan","PO Box 128","Kenansville","28349-0128","(910) 296-1521","(910) 296-1396","aobasohan@duplinschools.net","Southeast","Regular local school district","09-23-2010 12:04:15 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Durham Public Schools","320","Dr Pascal Mubenga","PO Box 30002","Durham","27702-3002","(919) 560-3749","(919) 560-2422","pascal_mubenga@dpsnc.net","North Central","Regular local school district","07-21-2020 11:36:15 AM"
"D) Laboratory Schools","East Carolina Community School","74Z","Ms Tracy L Cole","811 Howell St","Greenville","27834","(252) 737-5600","(252) 328-0105","colet18@ecu.edu","Northeast","Laboratory School","07-11-2018 01:30:11 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Edenton-Chowan Schools","210","Dr Michael Sasscer","PO Box 206","Edenton","27932-0206","(252) 482-4436","(252) 482-7309","msasscer@ecps.k12.nc.us","Northeast","Regular local school district","08-05-2020 03:38:13 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Edgecombe County Public Schools","330","Dr Valerie H. Bridges","PO Box 7128","Tarboro","27886-7128","(252) 641-2600","(252) 641-5714","vbridges@ecps.us","North Central","Regular local school district","07-13-2021 03:41:53 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Elizabeth City-Pasquotank Public Schools","700","Dr Keith Parker","PO Box 2247","Elizabeth City","27906-2247","(252) 335-2981","(252) 335-0974","kparker@ecpps.k12.nc.us","Northeast","Regular local school district","07-01-2022 08:26:02 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Elkin City Schools","861","Dr Myra Cox","202 West Spring St","Elkin","28621-3449","(336) 835-3135","(336) 835-3376","coxm@elkin.k12.nc.us","Piedmont Triad","Regular local school district","11-30-2016 02:50:28 PM"
"C) Federal Schools","Fort Bragg","269","Dr Renee Butler","PO Box 70089","Fort Bragg","28307-0089","(910) 907-0200","(910) 907-1405","DoDEAAmericasSuptBG/CU@am.dodea.edu","Sandhills","Federal agency providing instruction to school age children","06-01-2018 01:21:50 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Franklin County Schools","350","Dr Rhonda Schuhler","53 West River Road","Louisburg","27549","(919) 496-2600","(919) 496-2104","rhondaschuhler@fcschools.net","North Central","Regular local school district","11-28-2017 02:05:05 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Gaston County Schools","360","Dr W Jeffrey Booker","PO Box 1397","Gastonia","28053-1397","(704) 866-6100","(704) 866-6321","jbooker@gaston.k12.nc.us","Southwest","Regular local school district","07-23-2019 05:51:41 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Gates County Schools","370","Dr Phillip Barry Williams","PO Box 125","Gatesville","27938-0125","(252) 357-1113","(252) 357-0207","williamsb@gatescountyschools.net","Northeast","Regular local school district","01-04-2012 03:21:42 PM"
"F) Other","Governor’s Teacher Network","486"," Theresa Perry","6330 Mail Service Center","Raleigh","27699-6330","(919) 807-3427","(919) 807-3362","theresa.perry@dpi.nc.gov","North Central","Other education agencies","08-14-2014 02:01:57 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Graham County Schools","380","Mrs Angela Knight","52 Moose Branch Road","Robbinsville","28771","(828) 479-9820","(828) 479-9844","aknight@graham.k12.nc.us","Western","Regular local school district","07-01-2013 02:03:45 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Granville County Schools","390","Dr Alisa McLean","PO Box 927","Oxford","27565-0927","(919) 693-4613","(919) 693-7391","mcleana@gcs.k12.nc.us","North Central","Regular local school district","07-18-2017 08:09:13 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Greene County Schools","400","Dr Frank Creech","301 Kingold Boulevard","Snow Hill","28580-1393","(252) 747-3425","(252) 747-5942","frankcreech@greene.k12.nc.us","Southeast","Regular local school district","07-01-2022 09:25:35 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Guilford County Schools","410","Dr Whitney Oakley","PO Box 880","Greensboro","27402-0880","(336) 370-8100","(336) 370-8299","oakleyw@gcsnc.com","Piedmont Triad","Regular local school district","08-08-2022 09:51:57 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Halifax County Schools","420","Dr Eric Cunningham","PO Box 468","Halifax","27839-0468","(252) 583-5111","(252) 583-1474","cunninghame@halifax.k12.nc.us","Northeast","Regular local school district","07-05-2016 09:47:36 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Harnett County Schools","430","Dr Aaron Fleming","PO Box 1029","Lillington","27546-1029","(910) 893-8151","(910) 893-4279","afleming@harnett.k12.nc.us","North Central","Regular local school district","06-01-2018 10:24:48 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Haywood County Schools","440","Dr Trevor Putnam","1233 North Main St","Waynesville","28786-3461","(828) 456-2400","(828) 454-9227","superintendent@haywood.k12.nc.us","Western","Regular local school district","11-01-2022 10:33:56 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Henderson County Schools","450","Mr Mark R. Garrett","414 4th Ave West","Hendersonville","28739-4261","(828) 697-4733","(828) 697-5541","mrgarrett@hcpsnc.org","Western","Regular local school district","07-20-2022 04:38:29 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Hertford County Schools","460","Dr Jesse J Pratt III","PO Box 158","Winton","27986-0158","(252) 358-1761","(252) 358-4745","jpratt@hertford.k12.nc.us","Northeast","Regular local school district","01-03-2023 09:20:36 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Hickory City Schools","181","Dr Bryan   Taylor EdD","432 4th Avenue SW","Hickory","28602-2805","(828) 322-2855","(828) 322-1834","taylorbr@hickoryschools.net","Northwest","Regular local school district","07-07-2021 10:48:45 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Hoke County Schools","470","Dr Shannon Register","PO Box 370","Raeford","28376-0370","(910) 875-4106","(910) 875-3362","sregister@hcs.k12.nc.us","Sandhills","Regular local school district","02-14-2023 03:39:09 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Hyde County Schools","480","Dr Melanie Shaver","PO Box 217","Swan Quarter","27885-0217","(252) 926-3281","(252) 926-3083","mshaver@hyde.k12.nc.us","Northeast","Regular local school district","07-01-2022 09:05:41 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Iredell-Statesville Schools","490","Dr Jeff James","PO Box 911","Statesville","28687-0911","(704) 872-8931","(704) 871-2834","jeff_james@iss.k12.nc.us","Southwest","Regular local school district","07-07-2020 09:21:53 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Jackson County Public Schools","500","Dr Dana Ayers","398 Hospital Road","Sylva","28779-5196","(828) 586-2311","(828) 586-5450","dayers@jcpsmail.org","Western","Regular local school district","06-07-2021 10:13:41 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Johnston County Public Schools","510","Dr Eric Bracy","PO Box 1336","Smithfield","27577-1336","(919) 934-6031","(919) 934-6035","ericbracy@johnston.k12.nc.us","North Central","Regular local school district","07-07-2020 01:13:56 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Jones County Schools","520","Dr Ben Thigpen","320 West Jones Street","Trenton","28585-0187","(252) 448-2531","(252) 448-1394","ben.thigpen@jonesnc.net","Southeast","Regular local school district","01-03-2020 12:33:44 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Kannapolis City Schools","132","Mr Kevin Garay","100 Denver Street","Kannapolis","28083","(704) 938-1131","(704) 938-1137","kevin.garay@kcs.k12.nc.us","Southwest","Regular local school district","09-02-2021 09:56:24 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Lee County Schools","530","Dr Andrew N Bryan II","PO Box 1010","Sanford","27331-1010","(919) 774-6226","(919) 776-0443","abryan@lee.k12.nc.us","North Central","Regular local school district","07-03-2013 08:48:37 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Lenoir County Public Schools","540"," M Brent Williams","PO Box 729","Kinston","28502-0729","(252) 527-1109","(252) 527-6884","bwilliams@lenoir.k12.nc.us","Southeast","Regular local school district","04-11-2017 08:46:00 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Lexington City Schools","291","Dr Anitra Wells","1010 Fair Street","Lexington","27292","(336) 242-1527","(336) 249-3206","awells@lexcs.org","Piedmont Triad","Regular local school district","08-30-2018 04:28:38 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Lincoln County Schools","550","Dr Aaron Allen","PO Box 400","Lincolnton","28093-0400","(704) 732-2261","(704) 736-4280","aallen@lincoln.k12.nc.us","Southwest","Regular local school district","10-02-2020 11:38:51 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Macon County Schools","560","Dr Chris R Baldwin","1202 Old Murphy Road","Franklin","28734","(828) 524-3314","(828) 524-5938","chris.baldwin@macon.k12.nc.us","Western","Regular local school district","07-10-2013 02:48:58 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Madison County Schools","570","Dr Will  Hoffman","5738 US 25-70 Hwy","Marshall","28753","(828) 649-9276","(828) 649-9334","whoffman@madisonk12.net","Western","Regular local school district","07-02-2018 09:22:19 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Martin County Schools","580","Dr Thomas Daly III","300 N Watts Street","Williamston","27892-2099","(252) 792-1575","(252) 792-1965","tdaly@martin.k12.nc.us","Northeast","Regular local school district","07-01-2022 10:06:21 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","McDowell County Schools","590","Mr Brian T Oliver","PO Box 130","Marion","28752-0130","(828) 652-4535","(828) 659-2238","brian.oliver@mcdowell.k12.nc.us","Northwest","Regular local school district","02-27-2023 11:17:12 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Mitchell County Schools","610","Mr Chad Calhoun","72 Ledger School Rd","Bakersville","28705-9533","(828) 766-2220","(828) 766-2221","chadcalhoun@mcsnc.org","Northwest","Regular local school district","07-06-2016 09:29:17 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Montgomery County Schools","620","Dr Dale Ellis","PO Box 427","Troy","27371-0427","(910) 576-6511","(910) 576-2044","dale.ellis@montgomery.k12.nc.us","Sandhills","Regular local school district","10-13-2010 04:42:09 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Moore County Schools","630","Dr Tim Locklair","PO Box 1180","Carthage","28327-1180","(910) 947-2976","(910) 947-3011","tlocklair@ncmcs.org","Sandhills","Regular local school district","03-03-2022 03:25:23 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Mooresville Graded School District","491","Dr Jason Gardner","305 N Main St","Mooresville","28115-2453","(704) 658-2530","(704) 663-3005","jgardner@mgsd.k12.nc.us","Southwest","Regular local school district","08-02-2022 09:53:18 AM"
"D) Laboratory Schools","Moss Street Partnership School","79Z","Ms Catina  Chestnut","419 Moss Street","Reidsville","27320","(336) 349-5370","-","cschestn@uncg.edu","Piedmont Triad","Laboratory School","10-16-2020 11:10:21 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Mount Airy City Schools","862","Dr Kim Morrison","PO Drawer 710","Mount Airy","27030-0710","(336) 786-8355","(336) 786-7553","kmorrison@mtairy.k12.nc.us","Piedmont Triad","Regular local school district","07-05-2016 03:24:47 PM"
"B) State Schools","NC Health and Human Services","997","Mrs Kimberly D Kennedy","3006 Mail Service Center","Raleigh","27699-3006","(919) 855-4713","(919) 508-0955","kim.kennedy@dhhs.nc.gov","North Central","State agency providing instruction to school age children","03-28-2022 03:47:37 PM"
"F) Other","NC Virtual Public School","299","Dr Mia Murphy","1017 Main Campus Dr, Partners 1 Bldg Suite 3900","Raleigh","27606","(919) 513-8550","(919) 513-2557","mia.murphy@ncpublicschools.gov","North Central","Other education agencies","07-08-2022 09:52:07 AM"
"B) State Schools","NCDPS Juvenile Education Services","998"," Adam Johnson","4212 Mail Service Center","Raleigh","27699-4212","(919) 324-6420","(919) 715-2505","adam.johnson@ncdps.gov","North Central","State agency providing instruction to school age children","06-12-2017 04:01:26 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Nash County Public Schools","640","Dr Steven Ellis","930 Eastern Avenue","Nashville","27856-1716","(252) 459-5220","(252) 459-6404","sjellis@ncpschools.net","North Central","Regular local school district","07-02-2020 09:42:18 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","New Hanover County Schools","650","Dr Charles Foust","6410 Carolina Beach Road","Wilmington","28412","(910) 254-4200","(910) 254-4226","charles.foust@nhcs.net","Southeast","Regular local school district","09-04-2020 04:47:54 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Newton Conover City Schools","182","Dr Aron Gabriel","605 North Ashe Avenue","Newton","28658-3120","(828) 464-3191","(828) 466-0063","aron.gabriel@n-ccs.org","Northwest","Regular local school district","08-11-2018 03:25:58 AM"
"D) Laboratory Schools","Niner University Elementary School","60Z"," Pamela Tanner Broome","2414 Lester Street","Charlotte","28208","(980) 343-0733","(980) 343-0734","pamela.broome@uncc.edu","Southwest","Laboratory School","05-12-2020 05:34:02 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Northampton County Schools","660","Dr Rosa S Atkins","PO Box 158","Jackson","27845-0158","(252) 534-1371","(252) 534-4631","atkinsr@northampton.k12.nc.us","Northeast","Regular local school district","02-10-2023 10:40:29 AM"
"E) RESAs","Northeast Regional School - Biotech/Agri","94Z","Mr Billy Ray Askew","1215 Saint Andrews St","Jamesville","27846","(252) 792-0241","(252) 792-0245","baskew@neregionalschool.org","Northeast","Regional education service agency","09-02-2022 11:11:09 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Onslow County Schools","670","Dr Barry Collins","PO Box 99","Jacksonville","28541-0099","(910) 455-2211","(910) 455-3027","barry.collins@onslow.k12.nc.us","Southeast","Regular local school district","02-27-2019 08:22:49 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Orange County Schools","680","Dr Monique Felder","200 E King St","Hillsborough","27278-2570","(919) 732-8126","(919) 732-8120","monique.felder@orange.k12.nc.us","North Central","Regular local school district","11-05-2019 10:02:21 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Pamlico County Schools","690","Ms Lisa F Jackson","507 Anderson Drive","Bayboro","28515-9799","(252) 745-4171","(252) 745-4172","lisajackson@pamlicoschools.org","Southeast","Regular local school district","07-07-2015 10:48:14 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Pender County Schools","710","Dr William Breedlove","925 Penderlea Hwy","Burgaw","28425","(910) 259-2187","(910) 259-0133","william_breedlove@pender.k12.nc.us","Southeast","Regular local school district","01-05-2023 08:51:32 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Perquimans County Schools","720","Dr Tanya H Turner","PO Box 337","Hertford","27944-0337","(252) 426-5741","(252) 426-4913","tanyaturner@pqschools.org","Northeast","Regular local school district","07-05-2022 01:56:40 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Person County Schools","730","Dr Rodney Peterson","304 S Morgan St Rm 25","Roxboro","27573-5245","(336) 599-2191","(336) 599-2194","petersonr@person.k12.nc.us","North Central","Regular local school district","06-15-2017 12:51:35 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Pitt County Schools","740","Dr Ethan Lenker","1717 W 5th Street","Greenville","27834-1698","(252) 830-4200","-","lenkere@pitt.k12.nc.us","Northeast","Regular local school district","07-29-2013 07:46:27 AM"
"A) Regular Local/Local/Supervisory Union/Specialized","Polk County Schools","750","Mr Aaron Greene","PO Box 638","Columbus","28722-0638","(828) 894-3051","(828) 894-8153","agreene@polkschools.org","Western","Regular local school district","08-12-2016 03:13:26 PM"
"A) Regular Local/Local/Supervisory Union/Specialized","Public Schools of Robeson County","780","Dr Freddie Williamson","PO Drawer 2909","Lumberton","28359-2909","(910) 671-6000","(910) 370-9510","freddie.williamson@robeson.k12.nc.us","Sandhills","Regular local school district","12-15-2020 09:00:22 AM"
