District ID,District Name,County,Superintendent,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Mobile Students,Administrators,Teachers,Educational Assistants,Counselors,Licensed Librarians,Psychologists,Experienced Teachers,On-Track to Graduate,Oregon On-Track to Graduate Average,On-Time Graduation,Oregon On-Time Graduation Average
2090,McKenzie SD 68,Lane,Nathaniel Tompkins,182,*,1,16%,>95%,23%,2,17,8,0,0,0,71%,90%,74%,94%,83%
2256,McMinnville SD 40,Yamhill,Maryalice Russell,6337,29%,10,10%,59%,9%,17,356,163,15,3,5,86%,70%,74%,92%,83%
2048,Medford SD 549C,Jackson,Bret Champion,13892,15%,44,16%,95%,20%,48,735,292,14,5,0,75%,63%,74%,83%,83%
2205,Milton-Freewater Unified SD 7,Umatilla,Aaron Duff,1629,49%,6,14%,>95%,9%,9,100,59,<1,0,0,70%,63%,74%,86%,83%
2249,Mitchell SD 55,Wheeler,Vince Swagerty,1597,7%,13,15%,34%,55%,5,51,0,2,0,0,60%,42%,74%,30%,83%
1925,Molalla River SD 35,Clackamas,Tony Mann,2519,14%,16,15%,25%,12%,12,151,35,6,1,1,72%,54%,74%,90%,83%
1898,Monroe SD 1J,Benton,Bill Crowson,357,17%,3,15%,39%,14%,3,24,13,1,0,<1,76%,77%,74%,90%,83%
2010,Monument SD 8,Grant,Laura Thomas,53,*,2,*,36%,*,1,5,<1,0,0,0,67%,*,74%,100%,83%
2147,Morrow SD 1,Morrow,Dirk Dirksen,2270,45%,7,16%,39%,16%,11,137,65,7,0,0,69%,94%,74%,92%,83%
2145,Mt Angel SD 91,Marion,Rachel Stucky,655,28%,4,17%,55%,13%,5,44,12,3,0,0,80%,80%,74%,81%,83%
1968,Myrtle Point SD 41,Coos,Nanette Hagen,488,<5%,2,15%,>95%,16%,3,32,12,1,0,0,66%,68%,74%,83%,83%
2198,Neah-Kah-Nie SD 56,Tillamook,Paul Erlebach,671,8%,8,16%,35%,18%,6,51,34,5,1,<1,80%,74%,74%,86%,83%
2199,Nestucca Valley SD 101J,Tillamook,Misty Wharton,470,11%,5,16%,>95%,17%,4,28,11,2,0,<1,72%,67%,74%,95%,83%
2254,Newberg SD 29J,Yamhill,Joseph Morelock,4424,16%,37,16%,45%,13%,18,254,78,17,1,5,86%,71%,74%,85%,83%
1966,North Bend SD 13,Coos,Kevin Bogatin,5067,<5%,20,14%,38%,13%,14,218,57,8,0,3,77%,61%,74%,59%,83%
1924,North Clackamas SD 12,Clackamas,Shay James,16244,23%,76,17%,34%,8%,58,849,232,45,3,12,81%,79%,74%,87%,83%
1996,North Douglas SD 22,Douglas,Jody Cyr,332,<5%,3,16%,53%,20%,3,24,8,<1,0,0,73%,64%,74%,92%,83%
2061,North Lake SD 14,Lake,Gail Buermann,242,*,2,21%,>95%,14%,2,19,8,0,0,<1,90%,71%,74%,100%,83%
2141,North Marion SD 15,Marion,Ginger Redlinger,1766,40%,13,17%,>95%,6%,9,102,38,5,0,3,82%,50%,74%,84%,83%
2214,North Powder SD 8J,Union,Lance Dixon,259,8%,2,12%,>95%,17%,2,23,3,0,0,0,88%,>95%,74%,100%,83%
2143,North Santiam SD 29J,Marion,Andrew Gardner,2101,13%,13,16%,48%,15%,10,124,36,2,0,0,75%,81%,74%,84%,83%
4131,North Wasco County SD 21,Wasco,Carolyn Bernal,2721,28%,9,17%,>95%,26%,12,161,70,9,0,0,77%,56%,74%,82%,83%
2110,Nyssa SD 26,Malheur,Darren Johnson,1156,44%,6,14%,>95%,12%,8,72,24,3,0,0,90%,>95%,74%,81%,83%
1990,Oakland SD 1,Douglas,Patti Lovemark,564,*,3,16%,>95%,17%,4,37,10,1,0,0,66%,83%,74%,98%,83%
2093,Oakridge SD 76,Lane,Reta Doland,512,*,2,19%,>95%,15%,3,31,15,2,0,0,73%,58%,74%,72%,83%
2108,Ontario SD 8C,Malheur,Nicole Albisu,2295,20%,13,14%,>95%,16%,15,131,77,8,0,0,73%,76%,74%,85%,83%
1928,Oregon City SD 62,Clackamas,Kyle Laier,7319,10%,48,16%,>95%,12%,26,386,132,20,0,8,80%,74%,74%,89%,83%
1926,Oregon Trail SD 46,Clackamas,Aaron Bayer,4275,11%,35,13%,>95%,10%,15,189,49,11,5,4,79%,66%,74%,88%,83%
2060,Paisley SD 11,Lake,Paul Hauder,188,*,1,18%,47%,17%,2,11,2,0,0,<1,100%,*,74%,100%,83%
2181,Parkrose SD 3,Multnomah,Michael Lopes-Serrao,3002,33%,41,16%,>95%,8%,12,157,48,8,1,3,78%,77%,74%,76%,83%
2207,Pendleton SD 16,Umatilla,Chris Fritsch,2909,6%,21,16%,>95%,14%,11,154,69,13,<1,0,77%,77%,74%,80%,83%
2192,Perrydale SD 21,Polk,Eric Milburn,283,*,2,11%,31%,13%,3,18,11,0,0,0,89%,85%,74%,95%,83%
1900,Philomath SD 17J,Benton,Susan Halliday,1508,<5%,9,10%,26%,22%,11,96,31,6,0,<1,84%,74%,74%,90%,83%
2039,Phoenix-Talent SD 4,Jackson,Brent Barry,2375,25%,10,16%,>95%,15%,13,129,49,2,<1,1,80%,87%,74%,85%,83%
2202,Pilot Rock SD 2,Umatilla,Tory Jerome,294,*,4,12%,56%,22%,3,17,7,0,0,0,94%,>95%,74%,88%,83%
2016,Pine Creek SD 5,Harney,Katie Tracy,5,*,1,*,*,*,0,1,0,0,0,0,100%,*,74%,*,83%
1897,Pine Eagle SD 61,Baker,Cammie deCastro,194,*,2,12%,56%,16%,1,18,6,0,0,0,65%,81%,74%,70%,83%
2047,Pinehurst SD 94,Jackson,Holly Amann,17,*,2,*,*,*,0,2,1,0,0,0,100%,*,74%,100%,83%
2081,Pleasant Hill SD 1,Lane,Scott Linenberger,1000,<5%,4,16%,>95%,11%,6,52,15,2,0,1,83%,87%,74%,87%,83%
2062,Plush SD 18,Lake,Jack Thompson,11,*,2,*,*,*,0,1,0,0,0,0,100%,*,74%,67%,83%
1973,Port Orford-Langlois SD 2CJ,Curry,Steven Perkins,201,*,1,11%,69%,33%,2,17,5,0,0,0,71%,72%,74%,86%,83%
2180,Portland SD 1J,Multnomah,Guadalupe Guerrero,46564,15%,93,16%,54%,7%,183,2803,638,208,62,61,79%,86%,74%,84%,83%
1967,Powers SD 31,Coos,Matthew Shorb,126,*,1,20%,73%,11%,1,12,6,0,0,0,73%,82%,74%,80%,83%
2009,Prairie City SD 4,Grant,Casey Hallgarth,258,*,1,13%,>95%,43%,1,15,9,0,0,0,71%,>95%,74%,100%,83%
2045,Prospect SD 59,Jackson,Brian Purnell,207,*,1,15%,88%,24%,2,16,2,0,0,0,72%,50%,74%,78%,83%
1946,Rainier SD 13,Columbia,Joseph Hattrick,845,<5%,8,16%,41%,14%,5,50,21,2,0,<1,72%,63%,74%,88%,83%
1977,Redmond SD 2J,Deschutes,Charan Cline,6989,12%,26,13%,88%,17%,23,357,104,25,0,6,85%,74%,74%,88%,83%
2001,Reedsport SD 105,Douglas,Jon Zwemke,598,<5%,3,18%,86%,22%,3,32,19,0,0,0,73%,50%,74%,83%,83%
2182,Reynolds SD 7,Multnomah,Danna Diaz,10565,46%,85,16%,91%,9%,44,580,121,36,4,11,85%,47%,74%,66%,83%
1999,Riddle SD 70,Douglas,Dave Gianotti,388,*,2,20%,54%,14%,1,27,12,0,0,0,74%,61%,74%,75%,83%
2188,Riverdale SD 51J,Multnomah,Jeff Harding,590,*,9,10%,*,9%,3,39,0,1,2,0,80%,77%,74%,90%,83%
2044,Rogue River SD 35,Jackson,Patrick Lee,1088,*,2,16%,55%,15%,8,60,23,1,0,0,72%,51%,74%,74%,83%
2142,Salem-Keizer SD 24J,Marion,Christy Perry,38809,34%,92,18%,84%,11%,112,2042,1092,111,7,11,80%,70%,74%,81%,83%
2104,Santiam Canyon SD 129J,Linn,Todd Miller,4754,5%,28,16%,36%,27%,10,213,14,12,0,<1,80%,59%,74%,63%,83%
1944,Scappoose SD 1J,Columbia,Timothy Porter,2069,<5%,11,16%,24%,11%,12,123,39,7,0,2,80%,79%,74%,94%,83%
2103,Scio SD 95,Linn,Steve Martinelli,2547,<5%,11,12%,42%,29%,11,96,13,5,0,4,75%,81%,74%,79%,83%
1935,Seaside SD 10,Clatsop,Susan Penrod,1504,21%,13,16%,63%,14%,9,90,40,5,0,1,79%,36%,74%,80%,83%
2257,Sheridan SD 48J,Yamhill,Dorie Vickery,904,5%,5,14%,47%,18%,7,61,11,3,0,0,64%,51%,74%,73%,83%
2195,Sherman County SD,Sherman,Wes Owens,238,<5%,2,16%,43%,17%,2,19,6,0,0,0,89%,86%,74%,96%,83%
2244,Sherwood SD 88J,Washington,Heather Cordie,4814,7%,52,11%,13%,7%,17,249,87,14,0,4,88%,92%,74%,98%,83%
2138,Silver Falls SD 4J,Marion,Scott Drue,3551,12%,15,14%,92%,12%,15,204,91,10,3,2,85%,74%,74%,92%,83%
1978,Sisters SD 6,Deschutes,Curtiss Scholl,1149,5%,7,12%,28%,15%,6,66,16,4,0,1,90%,78%,74%,92%,83%
2096,Siuslaw SD 97J,Lane,Andy Grzeskowiak,1252,5%,8,15%,>95%,13%,8,84,37,4,1,0,71%,68%,74%,88%,83%
2022,South Harney SD 33,Harney,Stacey Moser,15,*,1,*,73%,*,0,2,<1,0,0,0,100%,*,74%,*,83%
2087,South Lane SD 45J3,Lane,Yvonne Curtis,2682,6%,9,20%,50%,14%,17,155,58,4,0,2,71%,75%,74%,79%,83%
1994,South Umpqua SD 19,Douglas,Kate McLaughlin,1398,<5%,3,21%,>95%,17%,8,90,44,2,0,0,67%,79%,74%,73%,83%
2225,South Wasco County SD 1,Wasco,Ryan Wraught,244,9%,3,16%,>95%,15%,1,17,6,0,0,0,83%,84%,74%,81%,83%
2247,Spray SD 1,Wheeler,Larry Johnson,56,*,2,*,>95%,22%,1,6,3,0,0,0,75%,>95%,74%,83%,83%
2083,Springfield SD 19,Lane,Todd Hamilton,9731,13%,38,18%,>95%,19%,43,528,273,11,2,11,86%,77%,74%,72%,83%
1948,St Helens SD 502,Columbia,Scot Stockwell,2638,<5%,30,17%,36%,11%,12,149,37,8,3,2,85%,61%,74%,72%,83%
2144,St Paul SD 45,Marion,Joseph Wehrli,245,31%,2,6%,>95%,7%,2,20,4,0,0,0,77%,>95%,74%,96%,83%
2209,Stanfield SD 61,Umatilla,Beth Burton,494,26%,5,15%,>95%,12%,3,30,12,1,0,0,78%,92%,74%,98%,83%
2018,Suntex SD 10,Harney,Shannon Criss,2,*,*,*,*,*,0,<1,<1,0,0,0,100%,*,74%,*,83%
2003,Sutherlin SD 130,Douglas,Terry Prestianni,1330,<5%,22,15%,60%,18%,7,76,31,5,0,0,79%,73%,74%,87%,83%
2102,Sweet Home SD 55,Linn,Tom Yahraes,2170,<5%,6,19%,94%,15%,12,123,62,8,0,2,71%,68%,74%,88%,83%
2055,Three Rivers/Josephine County SD,Josephine,David Valenzuela,4515,<5%,30,13%,>95%,20%,28,221,157,8,0,0,80%,67%,74%,84%,83%
2242,Tigard-Tualatin SD 23J,Washington,Susan Rieke-Smith,11687,23%,79,12%,27%,8%,30,653,127,25,1,12,87%,84%,74%,86%,83%
2197,Tillamook SD 9,Tillamook,Curt Shelley,2064,15%,8,17%,54%,12%,9,127,69,7,0,1,69%,67%,74%,86%,83%
2222,Troy SD 54,Wallowa,Karen Patton,3,*,1,*,*,*,<1,1,0,0,0,0,100%,*,74%,*,83%
2210,Ukiah SD 80R,Umatilla,Jim Reger,30,*,2,*,*,32%,<1,5,2,0,0,0,100%,*,74%,100%,83%
2204,Umatilla SD 6R,Umatilla,Heidi Sipe,1419,55%,5,10%,>95%,14%,7,77,30,3,0,0,68%,51%,74%,93%,83%
2213,Union SD 5,Union,Carter Wells,340,*,2,15%,86%,21%,2,23,10,0,0,0,77%,70%,74%,100%,83%
2116,Vale SD 84,Malheur,Alisha McBride,824,13%,7,14%,>95%,21%,5,58,26,2,0,0,92%,87%,74%,97%,83%
1947,Vernonia SD 47J,Columbia,Aaron Miller,548,*,8,19%,47%,16%,4,36,17,2,0,<1,67%,58%,74%,89%,83%
2220,Wallowa SD 12,Wallowa,Tamera Jones,179,*,2,17%,>95%,22%,2,17,<1,0,0,0,80%,82%,74%,83%,83%
1936,Warrenton-Hammond SD 30,Clatsop,Tom Rogozinski,944,8%,7,16%,85%,14%,6,52,25,3,0,1,87%,70%,74%,74%,83%
1922,West Linn-Wilsonville SD 3J,Clackamas,Kathy Ludwig,9224,8%,63,12%,14%,9%,35,525,106,25,2,7,85%,80%,74%,93%,83%
2255,Willamina SD 30J,Yamhill,Carrie Zimbrick,860,*,2,21%,95%,17%,5,49,20,0,0,0,76%,64%,74%,84%,83%
2002,Winston-Dillard SD 116,Douglas,Kevin Miller,1362,<5%,11,15%,>95%,25%,7,82,34,3,0,0,65%,55%,74%,80%,83%
2146,Woodburn SD 103,Marion,Juan Larios,5391,69%,24,15%,>95%,8%,21,304,106,14,5,4,75%,65%,74%,84%,83%
2251,Yamhill Carlton SD 1,Yamhill,Bill Rhoades,1020,<5%,6,13%,36%,17%,6,56,18,1,0,0,67%,85%,74%,80%,83%
