name,year1,state1,leaid1,leaid_name1,year2,state2,leaid2,leaid_name2,year3,state3,leaid3,leaid_name3,prediction,confidence,reasoning,evidence_urls,critic_score,critic_grade
dana bedden,2010-2012,tx,4824420,Irving Isd,2020-2024,pa,4205190,Centennial SD,,,,,same,high,"I found definitive evidence that Dana T. Bedden is the same person at both districts. The Penn State University article explicitly traces his career from ""first minority superintendent in the history of the Irving Independent School District"" to ""superintendent of the Centennial School District in Bucks County."" The Bedden & Associates website confirms both positions as part of the same individual's career trajectory. Multiple sources consistently use the full name ""Dana T. Bedden"" with Ed.D. credentials at both districts. The timeline shows a plausible career progression: Irving ISD (2010-2012), then Boyertown Area SD (2018-2020), then Centennial SD (2020-2024). This represents a typical superintendent mobility pattern with an 8-year gap between the two positions in question.","https://www.psu.edu/news/impact/story/dana-bedden-tackling-tough-challenges-effect-change-k-12-schools, https://www.bedden-associates.com/about-dr-bedden, https://www.dallasnews.com/news/2010/03/13/irving-isd-names-superintendent/, https://www.phillyburbs.com/story/news/education/2024/11/12/why-centennial-school-district-superintendent-dana-bedden-leaving-replacement-search-begins/76201734007/",20,CONFIRMED
dana bedden,2010-2012,tx,4824420,Irving Isd,2013-2016,va,5103240,Richmond,,,,,same,high,"I found overwhelming evidence that Dana Bedden/Dr. Dana Bedden at Irving ISD (2010-2012) and Richmond Public Schools (2013-2016) are the same person. 

**Key Evidence Found:**
1. **Full Name Verification**: Both districts list ""Dana T. Bedden, Ed.D."" as superintendent in official district documents
2. **Career Timeline Confirmed**: Multiple independent sources show the exact career progression:
   - Augusta, GA (2007-2010): Superintendent for 3 years
   - Irving ISD, TX (2010-2013): Hired in 2010, resigned July 2013 due to board ideological differences
   - Richmond Public Schools, VA (2014-2017): Selected December 22, 2013, started 2014
3. **Direct Connection Evidence**: Richmond Magazine article details his move from Irving to Richmond, explaining he left Texas after the 2012-13 school year due to conflicts with new board members over bilingual education
4. **Resignation Documentation**: Augusta Chronicle article confirms his July 2013 resignation from Irving ISD, noting he ""worked since leaving Augusta in 2010""
5. **Professional Profile**: New America Alliance biography confirms he served as Irving ISD superintendent before being selected for Richmond position on December 22, 2013

**Quality Gates Met:**
- ✓ Fetched and read multiple primary sources
- ✓ Searched both districts extensively
- ✓ Verified full name matches at both districts (Dana T. Bedden, Ed.D.)
- ✓ Found 2+ Tier 1 sources explicitly connecting the career transition
- ✓ Timeline perfectly aligns with provided records

The evidence shows a clear, documented career progression from Irving ISD to Richmond Public Schools, with the same individual moving between districts in a plausible timeline.","https://richmondmagazine.com/news/education/dana-bedden/, https://www.naaonline.org/dr_dana_t_bedden, https://www.augustachronicle.com/story/news/education/2013/07/04/former-richmond-county-schools-superintendent-dana-bedden-resigns-texas/14449137007/, https://www.irvingisd.net/fs/resource-manager/view/4265689d-2c0d-4767-bd27-711ad95e425e, https://www.rvaschools.net/fs/resource-manager/view/a86efaec-a254-4428-8572-fe51d76f346d",20,CONFIRMED
dana bedden,2013-2016,va,5103240,Richmond,2018-2019,pa,4203960,Boyertown Area SD,,,,,same,high,"I have found definitive evidence that Dr. Dana T. Bedden is the same person who served as superintendent in both districts:

**Tier 1 Evidence:**
- Reading Eagle article (2018) explicitly states: ""He was superintendent of Richmond (Va.) Public Schools from January 2014 to June 2017"" and that he was hired by Boyertown in 2018
- Penn State alumni article confirms his career trajectory including Richmond and mentions he moved to Boyertown in 2018

**Tier 2 Evidence:**
- Boyertown Area School District official website lists ""Dr. Dana T. Bedden 2018-2020"" in their superintendent history
- New America Alliance profile confirms his Richmond superintendent position
- Multiple news articles confirm the same person with identical full name ""Dr. Dana T. Bedden""

**Timeline Analysis:**
- Richmond position: January 2014 to June 2017 (matches 2013-2016 record with slight overlap)
- Boyertown position: 2018-2019 (matches record exactly)
- The 1-year gap between positions is normal for superintendent transitions

**Quality Gates Verified:**
✓ Fetched multiple primary sources
✓ Searched both district domains
✓ Verified full name at both districts (Dr. Dana T. Bedden)
✓ Found no conflicting evidence
✓ Timeline is plausible

The evidence overwhelmingly confirms this is the same person moving from Richmond Public Schools to Boyertown Area School District.","https://www.readingeagle.com/2018/07/25/boyertown-school-board-hires-superintendent/, https://www.psu.edu/news/impact/story/dana-bedden-tackling-tough-challenges-effect-change-k-12-schools, https://www.boyertownasd.org/school-board/our-board-and-contact-information/in-honor-of-those-who-have-served, https://www.naaonline.org/dr_dana_t_bedden",20,CONFIRMED
daniel brenner,2010-2014,ny,3625050,Roslyn Ufsd,2015-2017,ct,901050,Darien School District,,,,,same,high,"I found definitive evidence that both superintendent records refer to the same person. Multiple independent sources confirm that Dr. Daniel Brenner transitioned directly from Roslyn UFSD in New York to Darien School District in Connecticut.

Key evidence includes:
1. **Long Island Press (2015)**: Explicitly states Dr. Brenner ""will retire at the end of the school year to take the same position in the Darien Public Schools in Connecticut""
2. **Newsday (2015)**: Confirms ""Roslyn schools Superintendent Dan Brenner will leave the district at the end of the academic year as he moves to the top position with the Darien, Connecticut, system""
3. **UNIS biography**: States ""Dan spent 8 years as the Superintendent of Schools in Roslyn and moved on to become the Superintendent of Schools in Darien, Connecticut in 2015""
4. **Darien school newspaper interview**: Confirms he ""came to Darien after spending 11 years in the Roslyn public schools first as the Assistant Superintendent of curriculum and instruction and later as the Superintendent of Schools""

The timeline perfectly matches the records: Brenner served as Roslyn superintendent until the end of the 2014-2015 school year and began his Darien position on July 1, 2015. This represents a clear career progression with the same individual moving between districts.","https://www.longislandpress.com/2015/01/16/roslyn-superintendent-retiring/, https://www.newsday.com/long-island/nassau/dan-brenner-to-retire-as-roslyn-superintendent-to-take-top-schools-job-in-darien-connecticut-officials-say-i13476, https://www.unis.org/about-unis/school-leadership, http://neirad.darienps.net/1610DrBrennerMOstertag.php",19,CONFIRMED
daniel lukich,2008-2009,il,1730420,Palatine Ccsd 15,2011-2012,va,5102160,Lancaster County,,,,,same,high,"I have found definitive evidence that Dr. Daniel W. Lukich and Dr. Daniel Lukich are the same person who moved between districts. The evidence includes:

1. **CCSD 15 official records**: Dr. Daniel W. Lukich served as superintendent of Palatine CCSD 15 from July 2008 to July 2010, matching Position 1 (2008-2009).

2. **Lancaster County Board of Supervisors minutes** (June 30, 2011): Dr. Daniel W. Lukich was introduced as the new Lancaster County School Superintendent, matching Position 2 (2011-2012).

3. **Additional Lancaster County records**: Dr. Lukich was still serving as superintendent in April 2012 when presenting the FY 2013 budget, and in October 2012 when reporting on accreditation status.

4. **Family connection verification**: The obituary for Dan Lukich (his father) mentions his son ""Daniel W. Lukich"" and wife ""Judy McClain Lukich."" The Lancaster County minutes show Dr. Lukich mentioning ""he and his wife Judy moved into Kilmarnock,"" confirming the same person.

5. **Career timeline**: The records show a clear progression - Dr. Lukich left CCSD 15 in July 2010 and started at Lancaster County in 2011, which is a typical career transition timeline for a superintendent.

The name variations (Dr Daniel W Lukich vs Dr. Daniel Lukich) are simply different title formats, and all evidence points to the same individual with middle initial ""W"" and wife ""Judy"" appearing consistently across both positions.","https://www.ccsd15.net/our-district/about-district-15/ourhistory, https://www.lancova.com/documents/bosminutes/minutes063011.PDF, https://www.lancova.com/documents/bosminutes/minutes041212.PDF, http://rappahannockrecord.net/archives/2012/10-04-12_A1-8.pdf, https://www.borkoskifuneral.com/obituary/Dan-Lukich",20,CONFIRMED
daniel lukich,2005-2006,oh,3910016,Orange City,2011-2012,va,5102160,Lancaster County,,,,,same,high,"I found strong evidence that Daniel W. Lukich and Dr. Daniel Lukich are the same person. The evidence shows a clear career progression: (1) Multiple Ohio audit reports from 1999-2007 confirm Dr. Daniel W. Lukich served as superintendent of Orange City School District in Ohio during the 2005-2006 timeframe. (2) Lancaster County, Virginia Board of Supervisors minutes from June 30, 2011 explicitly introduce ""Dr. Daniel W. Lukich the new Lancaster County School Superintendent,"" where he states this is his ""first experience in Virginia."" (3) Additional documents show he later served as superintendent in Community Consolidated School District 15 in Illinois from 2008-2010, creating a logical career timeline: OH (2005-2007) → IL (2008-2010) → VA (2011-2012). (4) The name formats are consistent (Daniel W. Lukich vs Dr. Daniel Lukich) and both use the doctoral title, indicating the same individual. This represents a typical superintendent career path with moves between different states, and I found no conflicting evidence suggesting these are different people.","https://www.lancova.com/documents/bosminutes/minutes063011.PDF, http://www.auditor.state.oh.us/AuditSearch/Reports/2008/Orange_City_School_District_07-Cuyahoga.pdf, https://www.ccsd15.net/our-district/about-district-15/ourhistory, http://www.rappahannockrecord.net/archives/2011/11-03-11_A1-10.pdf",19,CONFIRMED
daniel nerad,2008-2011,wi,5508520,Madison Metropolitan School District,"2012, 2014-2015",mi,2605850,Birmingham,,,,,same,high,"I have definitive evidence that Daniel Nerad was the same person at both districts. The obituary (Tier 1 source) explicitly states his career trajectory: ""Dan then worked in the same role as School Superintendent at the Madison Metropolitan School District from 2008 to 2012, and finally at the Birmingham, Michigan School District from 2012 to 2018."" This is corroborated by multiple news articles confirming his transition from Madison to Birmingham in 2012. The timeline perfectly matches the records: Madison (2008-2011) followed by Birmingham (2012, 2014-2015). The name ""Daniel Nerad"" is uncommon, and the obituary provides a complete career history showing the exact sequence of positions. All evidence points to this being the same individual who moved from Wisconsin to Michigan in 2012.","https://www.cressfuneralservice.com/obituaries/daniel-nerad, https://www.hometownlife.com/story/news/local/birmingham/2018/06/01/birmingham-public-schools-superintendent-retiring-june/639977002/, https://www.madison.k12.wi.us/fs/resource-manager/view/428a6e7d-cdf9-47e3-b792-5bd59028f443",18,CONFIRMED
darrell floyd,2014-2023,ok,4010920,Enid,2023-2024,tx,4810590,Blue Ridge Isd,,,,,same,high,"I found definitive evidence that both superintendent records refer to the same person. The investigation uncovered two Tier 1 sources that explicitly connect the positions:

**Blue Ridge ISD Evidence (June 21, 2023):** The district's official announcement states: ""Dr. Darrell Floyd has a total of 26 years of experience as Superintendent of Schools. For the past 9 years, he has served as 6A Superintendent of Enid Public Schools in Enid, Oklahoma.""

**Enid Public Schools Evidence (April 20, 2023):** The district announcement confirms: Dr. Dudley Darrow ""will succeed Dr. Darrell Floyd, who will retire after serving as EPS superintendent for nine years.""

**Timeline Confirmation:** The evidence perfectly aligns with the records:
- Enid position: 2014-2023 (9 years as explicitly stated)
- Blue Ridge position: 2023-2024 (hired summer 2023 after retiring from Enid)

This represents a clear career progression where Dr. Darrell Floyd retired from Enid Public Schools after 9 years of service and immediately transitioned to become superintendent at Blue Ridge ISD in Texas. Both sources are official district announcements, providing definitive proof these are the same individual.","https://www.brisd.net/article/1154688, https://www.enidpublicschools.org/o/gfes/article/1082787",20,CONFIRMED
david benson,2009-2014,ia,1906540,Cedar Rapids Comm School District,2017,mo,2918300,Lee's Summit R-Vii,,,,,same,high,"I found definitive evidence that both superintendent records refer to the same person. The evidence shows a clear career progression: David Benson served as superintendent of Cedar Rapids Community School District (IA) from 2009-2014 (actually 2009-2015), retired in June 2015, and then became interim superintendent of Lee's Summit R-VII School District (MO) from September 2016 through June 2017.

Key evidence:
1. KMBC news article explicitly states Dr. David Benson was tapped as interim superintendent of Lee's Summit R-7 School District and notes he ""retired from the Cedar Rapids, Iowa, Community School District in June 2015""
2. Multiple sources confirm Brad Buck replaced ""retiring superintendent David Benson"" at Cedar Rapids in July 2015
3. Wikipedia and Vote Smart biographies list David Benson's career path including both Cedar Rapids and Lee's Summit positions
4. Timeline is consistent: Cedar Rapids tenure ended 2015, Lee's Summit interim role began 2016

This represents a typical superintendent career transition rather than two different people with the same name.","https://www.kmbc.com/article/lee-s-summit-school-district-names-interim-superintendent/3695817, https://www.kcci.com/article/iowa-education-director-named-school-superintendent/6904542, https://en.wikipedia.org/wiki/David_Benson_(politician), https://justfacts.votesmart.org/candidate/biography/183560/david-benson",19,CONFIRMED
david brax,2009-2010,ks,2004200,Buhler,2012-2017,mo,2927570,Savannah R-Iii,,,,,same,high,"I found definitive Tier 1 evidence confirming these are the same person. A December 15, 2010 news article explicitly documents Dr. David Brax's career transition from Buhler USD 313 to Savannah R-III School District. The article states: ""After 13 years as Superintendent in Buhler USD 313, I have accepted a position as the Superintendent of Schools in Savannah, Missouri effective July 1st."" This directly connects both positions. Additional supporting evidence includes Kansas Educational Directory listings (2009-10) showing Dr. David Brax as Buhler superintendent, Kansas legislative testimony from 2009 with him identified as Buhler USD #313 superintendent, and LinkedIn profiles for David Brax at both districts. The timeline perfectly aligns: Buhler (2009-2010) transitioning to Savannah R-III (effective 2011, covering 2012-2017). No conflicting evidence was found, and the full name ""David Brax"" is consistent across both districts.","https://eaglehutch.wordpress.com/2010/12/15/dr-david-brax-resigns-as-buhler-usd-313-superintendent-2/, https://kgi.contentdm.oclc.org/digital/api/collection/p16884coll42/id/845/download, https://kslegislature.gov/li_2014/m/historical/committees/minutes/09_10/house/hed/hed20090204.pdf, https://www.linkedin.com/in/david-brax-87713212, https://www.linkedin.com/in/david-brax-b267b27b",20,CONFIRMED
david carr,2010-2011,ny,3631200,Wheelerville Ufsd,"2015-2017, 2019-2024",nj,3416870,Wallkill Valley Regional High School District,,,,,same,high,"I found conclusive evidence that both superintendent records refer to the same person. The evidence shows a clear career progression: David D. Carr served as Superintendent of Wheelerville Union Free School District (NY) from 2006-2011, as documented in multiple NY State Education Department reports. He resigned in 2011 (according to a lawsuit article) and then transitioned to New Jersey, where he worked as Director of Instruction and Curriculum at Wallkill Valley Regional High School from 2011-2015, before being promoted to Superintendent/Principal in 2015. Multiple employment contracts and news articles confirm his continuous tenure at Wallkill Valley through 2019-2024, with his contract extended to 2028. The name variation (Mr. David D Carr vs David Carr) appears to be a formatting difference, as all official documents consistently refer to ""David Carr"" or ""DAVID CARR."" The timeline is plausible with no conflicts, and the career path shows a logical progression from NY to NJ.","https://data.nysed.gov/files/reportcards/archive/2010-11/CIR-2011-170301020000.pdf, https://www.njherald.com/story/news/2015/08/27/wallkill-valley-grad-named-superintendent/4048978007/, https://www.dailygazette.com/leader_herald/news/wheelerville-settles-lawsuit/article_b575beff-5c92-5891-aed7-6b255807c5fe.html, https://www.wallkillvrhs.org/Meeting%20minutes/Admin-Contacts-Container/26_Contract%20-%20David%20Carr%2007-01-25%20to%2006-30-28.pdf, https://www.wallkillvrhs.org/apps/pages/index.jsp?uREC_ID=223157&type=d&termREC_ID=&pREC_ID=454407",19,CONFIRMED
david dude,2016-2020,ga,1301680,Decatur City,2022-2024,wi,5502070,Cambria-Friesland School District,,,,,same,high,"I have found definitive evidence that both superintendent records refer to the same person - David Dude. The evidence includes:

1. **Tier 1 Evidence - Direct Connection**: Decaturish.com explicitly reported that ""Former City Schools of Decatur superintendent David Dude has a new job"" and that ""In May, the Cambria-Friesland School District in Wisconsin voted unanimously to hire Dude, meeting minutes show. He started the job on July 1.""

2. **Tier 2 Evidence - Official Records**: 
   - U.S. Department of Education document from 2016 confirms ""Dr. David Dude"" as superintendent of City Schools of Decatur
   - Wisconsin Superintendent Contacts 2024 document lists ""David Dude"" as superintendent of Cambria-Friesland School District with email david.dude@cfsdwi.org
   - Cambria-Friesland staff directory shows ""Dude, David"" as Superintendent/MS/HS Principal

3. **Career Timeline Verification**: The timeline is perfectly consistent - Dude served as superintendent in Decatur, GA from 2015-2020 (left amid controversy), then was hired by Cambria-Friesland, WI starting July 1, 2022, where he continues to serve through 2024.

4. **Name Verification**: Both positions use the exact same full name ""David Dude"" with no variations in first name.

The evidence clearly shows this is the same person who moved from Georgia to Wisconsin after leaving the Decatur position.","https://www.decaturish.com/news/decatur/former-decatur-superintendent-lands-job-in-wisconsin/article_7db3fcfa-2f4b-5a06-a275-ac589aa9c9b7.html, https://www.ed.gov/media/document/ga-district-city-schools-decaturpdf-64313.pdf, https://www.momscleanairforce.org/wp-content/uploads/2024/12/Wisconsin-Superintendents-2024.pdf, https://www.cf.k12.wi.us/district/staff-directory.cfm",19,CONFIRMED
david larson,"2008, 2011",mi,2605850,Birmingham,"2012-2014, 2017-2023",il,1716830,Glenbard Twp Hsd 87,,,,,same,high,"I found definitive evidence that David Larson (Position 1) and Dr. David Larson (Position 2) are the same person. The evidence shows a clear career progression:

**Phase 1-3 Evidence:**
- David Larson served as superintendent of Birmingham Public Schools in Michigan from 2008-2011 (confirmed by multiple news sources)
- In 2012, he was appointed superintendent of Glenbard Township High School District 87 in Illinois
- Multiple sources explicitly document this transition, including Birmingham Patch articles announcing his resignation to take the Glenbard position
- Glenbard District's own website confirms Larson served as superintendent from 2012 until his retirement in 2025

**Key Tier 1 Sources:**
1. Birmingham Patch articles (2012) explicitly state Larson was leaving Birmingham for Glenbard District 87
2. Shaw Local article (2024) confirms Larson's background: ""Before coming to District 87, Larson was superintendent of Birmingham Public Schools in suburban Detroit""
3. Glenbard District 87 official announcement confirms his 2012 start date and 2025 retirement

**Name Consistency:**
- Both positions refer to the same person - David Larson, who earned his doctorate (explaining the ""Dr."" title in Position 2)
- No evidence of different first names or multiple superintendents with this name

**Timeline Plausibility:**
- Birmingham position: 2008-2011
- Glenbard position: 2012-2023 (and continuing to 2025)
- Direct transition documented in 2012 with no overlap

This is a clear case of the same superintendent moving from one district to another, with extensive documentation of the career transition.","https://patch.com/michigan/birmingham/superintendent-david-larson-calls-time-working-in-birff2cb57d75, https://patch.com/michigan/birmingham/birmingham-superintendent-david-larson-accepts-positife565efc1b, https://www.shawlocal.com/my-suburban-life/news/2024/05/24/glenbard-district-87-superintendent-to-retire/, https://www.glenbard87.org/news/larson-to-retire-in-2025-superintendent-search-to-begin/",18,CONFIRMED
david larson,2010-2012,oh,3904533,Covington Exempted Village,2016-2018,ia,1921720,Olin Consolidated School District,,,,,same,high,"I found conclusive evidence that David A. Larson and Dave Larson are the same person through a clear career progression timeline:

1. **David A. Larson** served as superintendent of Covington Exempted Village School District (OH) from 2010-2012, confirmed by Ohio Department of Education data.

2. The same **David Larson** became assistant superintendent of Piqua City Schools (OH), confirmed by Dayton Daily News reporting his hiring from Covington schools.

3. **David Larson** moved to Iowa and became superintendent of Bennett Community School District in 2015-2016, confirmed by Bennett district's ""Parents' Right to Know"" document showing his email as david.larson@bennett.k12.ia.us.

4. **Dave Larson** (same person using nickname) served as shared superintendent of Olin Consolidated School District (IA) from 2016-2018, confirmed by Wikipedia and DeWitt Observer articles.

5. **Dave Larson** later returned to Ohio as superintendent of Miami County Educational Service Center, confirmed by AESA conference program bio that explicitly states: ""Before serving as the superintendent for MCESC, Mr. Larson served as the assistant superintendent for Piqua City Schools and the superintendent of Covington Exempted Village Schools.""

The evidence shows a clear career progression with multiple independent sources confirming the same individual moved between these districts, with ""Dave"" being a common nickname for ""David"". The timeline is consistent and the career path is logical for a superintendent.","https://reportcardstorage.education.ohio.gov/data-download-2011/1011_LRC_DISTRICT.xls, https://www.daytondailynews.com/news/local/schools-hire-new-assistant-superintendent/TH9hkRfgKMBvJCSLgsm0NM/, https://www.bennett.k12.ia.us/wp-content/uploads/2020/09/Bennett-Parents-Right-to-Know.pdf, https://en.wikipedia.org/wiki/Olin_Consolidated_Community_School_District, https://www.aesa.us/assets/pdf/2024+AiA+PreConference+Program",19,CONFIRMED
david markward,2003,il,1734410,Rock Island School District 41,2004-2008,ia,1906540,Cedar Rapids Comm School District,,,,,same,high,"I completed Phase 1-3 searches and found definitive evidence that DR DAVID MARKWARD and David Markward are the same person. The evidence includes:

**Tier 1 Evidence**: Clear Lake Iowa Chamber event page explicitly states Dave Markward served as ""school district superintendent (including the Cedar Rapids Community School District and the Rock Island-Milan School District)"" - this directly connects both positions.

**Tier 2 Evidence**: 
- Augustana College alumni page confirms ""After working as a teacher, coach and school administrator in Rock Island, Ill., and Cedar Rapids, Iowa, Dr. Markward retired...""
- Western Illinois University news article describes him as ""a former Rock Island-Milan and Cedar Rapids School District Superintendent""
- Illinois State Board of Education meeting minutes from October 2003 show ""Dr. David Markward, District Superintendent of Rock Island School District 41"" presenting to the board

**Name Verification**: All sources consistently use ""Dr. David Markward"" or ""Dave Markward"" - no conflicting first names found.

**Timeline Plausibility**: The career progression from Rock Island (2003) to Cedar Rapids (2004-2008) is geographically and professionally plausible for a superintendent moving between adjacent states.

The evidence conclusively shows this is the same person who moved from Rock Island School District 41 in Illinois to Cedar Rapids Community School District in Iowa.","http://clearlakeiowa.chambermaster.com/events/details/author-visit-dave-markward-740140, https://www.isbe.net/Documents_Board_Meetings/2003-10.pdf, https://www.augustana.edu/giving/generosity-matters/markward, https://www.wiu.edu/news/newsrelease.php?release_id=20656",20,CONFIRMED
david martin,2009,nc,3702680,Lincoln County Schools,2021-2022,tn,4700145,Tennessee School For Blind,,,,,same,high,"After comprehensive research across multiple phases, I have found strong evidence that David Martin (Lincoln County Schools, NC, 2009) and Dr. David Martin (Tennessee School for the Blind, 2021-2022) are the SAME person.

Key findings:
1. **Identity Confirmation**: J. David Martin was superintendent of Lincoln County Schools, NC from 2007-2010, and was referred to as both ""David Martin"" and ""Dr. David Martin"" in documentation
2. **Career Timeline**: The Louisiana Department of Health biography shows Dr. David Martin served as superintendent of Tennessee School for the Blind after his time in North Carolina
3. **Professional Progression**: Evidence shows this is the same person who had a career progression from Virginia schools → Lincoln County Schools, NC (2007-2010) → Department of Defense Education Activity → Tennessee School for the Blind (2013-2023) → Louisiana Special School District (2023-present)
4. **Name Consistency**: The person is consistently referred to as both ""J. David Martin"" and ""Dr. David Martin"" throughout his career, with the title ""Dr."" reflecting his earned doctorate degree

The 12-year gap between the North Carolina position (2009) and Tennessee position (2021-2022) is consistent with this individual's career progression and the time needed to earn his doctorate and gain additional administrative experience. The evidence clearly shows the same person advancing through different superintendent roles over time.","https://ldh.la.gov/assets/docs/deafcommission/Commissioners/DrMartin_Bio.pdf, https://www.wbtv.com/story/13124801/lincoln-county-school-board-meets-to-appoint-interim-superintendent, https://www.lincolntimesnews.com/news/martin-resigns-as-superintendent-supporters-furious-with-his-opponents-on-school-board-for-unethical-behavior/article_7f3e2793-b7fa-55c4-9666-465e5ce0fa47.html, https://www.tsbtigers.org/apps/pages/covid-19",18,CONFIRMED
david moyer,2010-2011,wi,5501890,Burlington Area School District,"2014, 2017-2020",il,1713970,Elmhurst Sd 205,,,,,same,high,"I have found definitive evidence that David Moyer at Burlington Area School District (WI) 2010-2011 and Dr. David Moyer at Elmhurst SD 205 (IL) 2014, 2017-2020 are the same person. The evidence shows a clear career progression: Burlington (2010-2012) → Moline-Coal Valley (2012-2015) → Elmhurst (2015-2021) → Arlington (2021-present). Multiple Tier 1 sources explicitly connect these positions. The Elmhurst Chamber announcement states Dr. David A. Moyer ""previously served as the superintendent in Burlington, WI"" before joining Elmhurst in 2015. The Patch article confirms ""he was the superintendent of the Burlington Area School District in Wisconsin from 2010 to 2012"" before moving to Elmhurst. The name progression from ""David Moyer"" to ""Dr. David Moyer"" represents the same person earning/using his doctoral title, which is common in education careers. The timeline is perfectly consistent with the records provided.","https://www.elmhurstchamber.org/district-205-names-dr-dave-moyer-as-new-superintendent/, https://patch.com/illinois/elmhurst/elmhurst-superintendent-takes-new-york-job, https://www.gazettextra.com/archives/basd-superintendent-moving-on/article_36a186c2-c8c3-11e7-b407-10604b9ffe60.html, https://www.poughkeepsiejournal.com/story/news/education/2021/01/14/superintendent-moyer-looks-collaborate-arlington-community/4164182001/",20,CONFIRMED
david moyer,2010-2011,wi,5501890,Burlington Area School District,2012-2013,il,1726400,Moline Usd 40,,,,,same,high,"I have found definitive evidence that David Moyer (Position 1) and Dr. David Moyer (Position 2) are the same person. The evidence shows a clear career progression:

1. **Direct Connection Evidence**: Multiple sources explicitly state that Dr. David Moyer served as superintendent at Burlington Area School District (WI) before moving to Moline-Coal Valley School District (IL). The transition occurred around 2012-2013, which perfectly aligns with the timeline in the records.

2. **Career Timeline Confirmed**: 
   - Burlington Area School District: 2010-2012 (matches Position 1: 2010-2011)
   - Moline-Coal Valley School District: 2012-2015 (matches Position 2: 2012-2013)
   - Later positions confirm the career trajectory: Elmhurst District 205 (2015-2021), Arlington Central School District (2021-2024), and currently Northport-East Northport (2024-present)

3. **Multiple Independent Sources**: I found consistent evidence from:
   - Shaw Local news article explicitly stating ""Moyer served as superintendent of Moline-Coal Valley School District No. 40 for three years... He was superintendent of Burlington Area School District for two years""
   - Elmhurst Chamber of Commerce announcement: ""Dr. Moyer is completing his third year as the superintendent of Moline-Coal Valley District 40. He previously served as the superintendent in Burlington, WI""
   - WQAD news: ""Moyer was in his position in Moline-Coal Valley District 40 for three years. Before that he served as the superintendent in Burlington, Wisconsin""
   - Current district bio listing complete career history including both positions
   - District Management Journal confirming the full career trajectory

4. **Name Consistency**: All sources consistently refer to the same person as ""David Moyer"" or ""Dr. David Moyer"" throughout his career progression.

This is a classic example of superintendent career mobility, with the individual moving from a smaller Wisconsin district to a larger Illinois district, then continuing to advance to progressively larger districts. The timeline, geographic proximity (WI to IL), and consistent career trajectory all support this being the same person.","https://www.shawlocal.com/my-suburban-life/news/education/2021/01/15/elmhurst-district-205-superintendent-leaving-for-position-in-new-york/, https://www.elmhurstchamber.org/district-205-names-dr-dave-moyer-as-new-superintendent/, https://www.wqad.com/article/news/education/superintendent-of-moline-schools-takes-job-in-elmhurst/526-d19ecb28-aef3-4caf-8d12-fb7e2b2684ad, https://www.northport.k12.ny.us/apps/pages/index.jsp?uREC_ID=585309&type=d&termREC_ID=&pREC_ID=1149282, https://dmj.dmgroupk12.com/articles/welcome-to-our-new-members?article_id=4892467&i=836453",19,CONFIRMED
david moyer,2010-2011,wi,5501890,Burlington Area School District,2024,ny,3621270,Northport-East Northport Ufsd,,,,,same,high,"I found overwhelming evidence that David Moyer at Burlington Area School District (WI) in 2010-2011 and DAVID MOYER at Northport-East Northport UFSD (NY) in 2024 are the same person.

**Evidence found:**
1. **Northport-East Northport Bio (2024)**: Dr. Dave Moyer's official bio shows 27 years as administrator starting January 1, 2024, with career progression through multiple districts.

2. **Elmhurst Chamber Article (2015)**: Explicitly states ""Dr. David A. Moyer... previously served as the superintendent in Burlington, WI"" before becoming Elmhurst superintendent in 2015.

3. **Northport Journal Article (2024)**: Confirms career path - served in Illinois and Wisconsin, most recently Elmhurst 2015-2021, then Arlington Central School District (NY), then Northport-East Northport in 2024.

4. **Gazette Article**: Confirms David Moyer was Burlington Area School District superintendent hired in 2010, left for Moline-Coal Valley School District.

**Career Timeline:**
- 2010-2011: Burlington Area School District (WI) ✓
- 2012-2015: Moline-Coal Valley District (IL) 
- 2015-2021: Elmhurst District 205 (IL)
- 2021-2024: Arlington Central School District (NY)
- 2024-present: Northport-East Northport UFSD (NY) ✓

This represents a clear, documented career progression of the same individual (Dr. David A. Moyer/Dr. Dave Moyer) moving through multiple districts over 13+ years. Multiple independent sources explicitly connect the Wisconsin and New York positions.","https://www.northport.k12.ny.us/apps/pages/index.jsp?uREC_ID=585309&type=d&termREC_ID=&pREC_ID=1149282, https://www.elmhurstchamber.org/district-205-names-dr-dave-moyer-as-new-superintendent/, https://northportjournal.com/schools/new-hire-dr-dave-moyer-incoming-superintendent-of-schools-appointed-after-5-2-vote, https://www.gazettextra.com/archives/basd-superintendent-moving-on/article_36a186c2-c8c3-11e7-b407-10604b9ffe60.html",20,CONFIRMED
